专业类代码,专业类名称,大类编码,大类名称,一句话介绍,典型代表
0807,电子信息类,06,信息与通信技术（硬件）,研究电子器件与信息传输系统，为通信、雷达、芯片等硬件领域输送工程师,通信工程师、芯片设计工程师、信号处理工程师
0808,自动化类,07A,机械·制造·自动化,研究工业控制与智能系统，让机器自动运转，广泛应用于制造业和机器人领域,自动化工程师、工业控制工程师、智能制造专家
0809,计算机类,11,计算机科学（含交叉工程）,研究软件开发与计算机系统，是互联网和人工智能时代最核心的技术专业,软件工程师、AI算法工程师、产品经理
0810,土木类,07C,土木·水利·测绘,设计和建造桥梁、道路、楼房等基础设施，是城市建设的核心工程专业,结构工程师、道路桥梁设计师、岩土工程师
0811,水利类,07C,土木·水利·测绘,研究水资源开发与防洪排涝工程，为水坝、灌溉和防灾减灾系统提供技术支撑,水利工程师、大坝设计师、防洪规划专员
0812,测绘类,07C,土木·水利·测绘,用测量与遥感技术绘制地图和定位空间信息，支撑城市规划、导航和资源调查,测量师、GIS地理信息工程师、无人机测绘工程师
0813,化工与制药类,07E,化工·材料·轻工,研究化学工业流程与药物制造工艺，在化工厂、制药企业等生产和研发岗位工作,化工工艺工程师、药物制造工程师、质量控制工程师
0814,地质类,07H,环境·资源,研究地球内部结构和矿产资源分布，为能源勘探和地质灾害防治服务,地质工程师、矿产勘查员、地质灾害防治工程师
0815,矿业类,07H,环境·资源,研究矿产资源的开采与加工工艺，在采矿、冶金等资源行业承担核心技术工作,采矿工程师、矿山安全工程师、选矿工程师
0816,纺织类,07E,化工·材料·轻工,研究纤维材料与纺织工艺，为服装、工业用纺织品等行业提供技术支持,纺织工程师、服装材料研发师、纺织品检测员
0817,轻工类,07E,化工·材料·轻工,研究食品、造纸、皮革等消费品的工业生产工艺，为轻工制造业提供技术服务,食品工艺工程师、造纸工程师、包装工程师
0818,交通运输类,07F,交通·物流·安全,研究交通系统规划与运输组织，为铁路、公路、航运等行业提供规划和管理支撑,交通规划师、铁路运营工程师、物流系统设计师
0819,海洋工程类,07G,航空·海洋,研究海洋开发装备与海上结构工程，为海洋油气开采、深海探测等领域提供关键技术,海洋平台工程师、深海装备工程师、港口工程师
0820,航空航天类,07G,航空·海洋,研究飞行器设计与航天系统工程，是科技含量最高的工程领域之一,飞机设计工程师、航天器总体设计师、无人机工程师
0821,兵器类,07A,机械·制造·自动化,研究武器装备的设计与制造工艺，主要在国防工业和军工企业从事技术研发,武器系统工程师、弹道分析工程师、国防科研人员
0822,核工程类,07B,电气·能源·核,研究核能的安全利用与核技术应用，在核电站、核安全机构等领域承担关键工程工作,核电工程师、核安全工程师、核医学技术员
0823,农业工程类,07I,生命工程,将工程技术应用于农业生产，研究农业机械、智能灌溉和农村基础设施,农业机械工程师、智慧农业工程师、农村水利工程师
0824,林业工程类,07I,生命工程,研究森林资源的工程开发与生态保护，在林业局、木材加工和生态修复领域工作,林业工程师、木材加工工艺师、生态修复工程师
0825,环境科学与工程类,07H,环境·资源,研究污染治理与生态保护工程，为环保企业、政府环境部门和绿色产业服务,环保工程师、水处理工程师、碳排放评估师
0826,生物医学工程类,07I,生命工程,将工程技术应用于医学问题，研发医疗器械、医学影像设备和可穿戴健康设备,医疗器械工程师、医学影像工程师、康复工程师
0827,食品科学与工程类,07E,化工·材料·轻工,研究食品加工工艺与质量安全，在食品企业、质检机构等领域从事研发和检测工作,食品研发工程师、食品安全检测员、营养品配方师
0828,建筑类,07D,建筑·规划·景观,设计建筑空间与城市环境，兼顾功能与美感，是工程与艺术高度融合的专业,建筑师、室内设计师、城市设计师
0829,安全科学与工程类,07F,交通·物流·安全,研究事故预防与安全管理体系，为生产企业、政府安全部门提供风险管理支撑,安全工程师、消防安全顾问、工业安全管理师
0830,生物工程类,07E,化工·材料·轻工,利用生物技术进行工业化生产，在医药、农业、环保等领域研发生物制品和生物药物,生物技术工程师、发酵工程师、基因工程研发员
0831,公安技术类,07J,国防安全,将科学技术应用于刑侦和公共安全，在公安技术部门从事物证鉴定和网络侦查工作,刑事技术鉴定员、电子物证工程师、网络安全侦查员
0832,交叉工程类,11,计算机科学（含交叉工程）,融合多学科工程技术解决前沿复杂问题，涉及人工智能、量子计算、智慧城市等新兴领域,AI系统工程师、量子信息研究员、智能制造专家
0901,植物生产类,08,农林渔业与兽医,研究农作物的培育与种植生产，为粮食安全和现代精准农业提供核心技术支撑,农艺师、种子研发员、精准农业技术员
0902,自然保护与环境生态类,08,农林渔业与兽医,研究自然生态系统保护与恢复，在自然保护区、环保机构或野生动物研究领域工作,生态学家、自然保护区管理员、野生动物保护研究员
0903,动物生产类,08,农林渔业与兽医,研究畜牧养殖与动物营养，为现代畜牧业和食品产业提供科学技术支持,畜牧师、动物营养师、养殖场技术顾问
0904,动物医学类,08,农林渔业与兽医,学习动物疾病诊断与防治技术，未来成为兽医或在动物检疫部门从事防疫工作,兽医、宠物医院医师、动物检疫官员
0905,林学类,08,农林渔业与兽医,研究森林培育与林业资源管理，在林业局、林场和生态项目中担任专业技术角色,林业工程师、树木医生、森林碳汇研究员
0906,水产类,08,农林渔业与兽医,研究水产动植物的养殖与渔业生产技术，服务于渔业企业和水产品加工行业,水产工程师、渔业技术员、水产品质检员
0907,草学类,08,农林渔业与兽医,研究草地资源保护与牧草品种培育，为草牧业和草地生态修复等领域提供技术支持,草地管理专员、草业工程师、草地生态研究员
1001,基础医学类,09,医学与健康,研究人体结构与疾病发生机制，是临床医学的科学基础，主要面向医学科研和教育岗位,病理学研究员、医学院教师、基础医学科研人员
1002,临床医学类,09,医学与健康,学习疾病诊断与临床治疗，未来成为医生在医院为患者看病救治,内科医生、外科医生、全科医生
1003,口腔医学类,09,医学与健康,专注口腔与牙齿健康管理，未来成为牙科医生或口腔科专科医师,牙科医生、口腔正畸师、口腔修复医生
1004,公共卫生与预防医学类,09,医学与健康,研究疾病预防与人群健康管理，在疾控中心、卫生部门或国际卫生组织工作,流行病学家、疾控中心工作人员、公共卫生政策官员
1005,中医学类,09,医学与健康,学习中国传统医学理论与临床实践，在中医院或中医诊所为患者提供中医诊疗服务,中医师、针灸师、中医药研究员
1006,中西医结合类,09,医学与健康,融合中西医治疗方法，在综合医院或专科诊所提供整合性医疗服务,中西医结合医师、临床研究员、综合康复医师
1007,药学类,09,医学与健康,研究药物作用机制与制剂开发，在制药企业、医院药房或药品监管部门工作,药剂师、药物研发工程师、临床药学师
1008,中药学类,09,医学与健康,研究中草药的成分、炮制工艺与配方原理，在中药企业、中医院或科研机构工作,中药调剂师、中药研发工程师、中药材鉴定师
1009,法医学类,09,医学与健康,将医学技术应用于司法鉴定，协助刑事案件中的尸检、物证鉴定和死因分析工作,法医、司法鉴定专家、法医毒理学家
1010,医学技术类,09,医学与健康,学习医学辅助检验与影像诊断技术，在医院检验科、影像科或康复中心工作,医学检验技师、医学影像技师、康复治疗师
1011,护理学类,09,医学与健康,学习患者护理与健康管理，在医院病房、社区卫生站或养老机构提供专业护理服务,护士、护理师、社区健康护理员
1201,管理科学与工程类,04,商业管理与法律,用数学和系统方法解决管理问题，在咨询公司、金融机构或工程项目管理岗位工作,项目管理师、运营研究分析师、管理顾问
1202,工商管理类,04,商业管理与法律,学习企业运营与经营决策，未来在企业或咨询机构担任管理职位或自主创业,品牌经理、企业战略顾问、创业者
1203,农业经济管理类,04,商业管理与法律,研究农业政策与农村经济发展，在政府农业部门或农业企业从事规划和管理工作,农业政策分析师、农村发展规划员、农业企业管理者
1204,公共管理类,04,商业管理与法律,研究政府和公共机构的治理运作，主要面向政府公务员、事业单位和国际组织管理职位,政府公务员、城市管理干部、非营利机构管理者
1205,图书情报与档案管理类,03,社会科学（含教育与体育）,研究信息收集、组织与传播，在图书馆、档案馆、情报机构或互联网内容管理岗位工作,图书馆员、档案管理员、知识管理专员
1206,物流管理与工程类,07F,交通·物流·安全,研究物资流通与供应链优化管理，在电商平台、制造业和物流企业承担运营和系统设计工作,供应链管理师、物流运营专员、仓储系统工程师
1207,工业工程类,07A,机械·制造·自动化,优化生产流程与人机系统效率，在制造业工厂或咨询公司从事精益生产和流程改善工作,工业工程师、精益生产专家、生产运营分析师
1208,电子商务类,04,商业管理与法律,研究互联网商业模式与数字营销，在电商平台、品牌公司从事运营和用户增长工作,电商运营专员、数字营销师、用户增长分析师
1209,旅游管理类,04,商业管理与法律,研究旅游业运营与服务管理，在旅行社、酒店、景区或文旅机构从事规划和运营工作,旅游规划师、酒店经理、文旅项目运营专员
1301,艺术学理论类,02,艺术与人文,研究艺术的历史、理论与批评，主要在高校、艺术机构、博物馆或媒体从事研究和策划工作,艺术评论家、博物馆策展人、艺术教育研究员
1302,音乐与舞蹈学类,02,艺术与人文,学习音乐或舞蹈的表演、创作与教学，在演艺机构、学校或文化团体工作,演奏家、舞蹈编导、音乐教师
1303,戏剧与影视学类,02,艺术与人文,研究戏剧与影视的创作和制作技术，可成为编剧、导演或影视制作人,编剧、导演、影视制作人
1304,美术学类,02,艺术与人文,学习绘画、雕塑等视觉艺术的创作与理论，在艺术创作、展览或美术教育领域工作,画家、美术教师、艺术品修复师
1305,设计学类,02,艺术与人文,将创意与工程技术结合，设计产品外观和用户体验，广泛应用于各类商业和数字场景,产品设计师、视觉设计师、用户体验设计师
