题目编号,RIASEC维度,强度等级,生活场景,题目内容,计分说明
I013,I,高,日常,我有时会沉浸在一个抽象问题里，反复推敲很长时间而不觉得无聊,1=非常不同意 5=非常同意
I014,I,高,假设情景,如果可以选择，我更想做研究或分析类工作，而不是管理人或销售产品,1=非常不同意 5=非常同意
I015,I,高,学习,我能接受一个问题长时间没有明确答案，并持续保持探索的耐心,1=非常不同意 5=非常同意
I016,I,高,日常,我对未知领域的好奇心驱使我持续学习，哪怕没有人要求我这样做,1=非常不同意 5=非常同意
A001,A,低,学习,我喜欢有创意空间、不被固定格式约束的作业或活动,1=非常不同意 5=非常同意
A002,A,低,学习,比起追求标准答案，我更享受自己发挥想象力的过程,1=非常不同意 5=非常同意
A003,A,低,课余,我对音乐、绘画、电影、文学或设计有一定的兴趣和欣赏能力,1=非常不同意 5=非常同意
A004,A,低,社交,我欣赏那些有独特风格、敢于与众不同的人,1=非常不同意 5=非常同意
A005,A,中,日常,我经常会产生创意想法，并希望通过某种方式把它们表达出来,1=非常不同意 5=非常同意
A006,A,中,课余,我喜欢用写作、画画、音乐、摄影或设计来表达自己的感受和想法,1=非常不同意 5=非常同意
A007,A,中,日常,我会注意事物的美感和风格，对视觉或听觉效果比较敏感,1=非常不同意 5=非常同意
A008,A,中,学习,我更喜欢灵活开放的工作方式，而不是按部就班地执行固定步骤,1=非常不同意 5=非常同意
A009,A,中,学习,在语文、美术或音乐相关的课程上，我比理科课程更有灵感和投入感,1=非常不同意 5=非常同意
A010,A,中,课余,我会欣赏并思考艺术作品或创意内容所表达的深层含义,1=非常不同意 5=非常同意
A011,A,高,课余,我有一个或多个持续在进行的创作爱好（写作、绘画、音乐、设计等）,1=非常不同意 5=非常同意
A012,A,高,课余,即使没有人要求，我也会主动进行艺术或创意类活动,1=非常不同意 5=非常同意
A013,A,高,日常,我不喜欢被固定规则限制我的表达方式，创作时希望完全自由发挥,1=非常不同意 5=非常同意
A014,A,高,日常,我对原创性和独特性的追求超过对效率和规范的重视,1=非常不同意 5=非常同意
A015,A,高,日常,我认为艺术创作或创意表达对我的生活不可缺少，是重要的精神需求,1=非常不同意 5=非常同意
A016,A,高,假设情景,如果可以选择，我更愿意从事需要大量创意和自我表达的工作,1=非常不同意 5=非常同意
S001,S,低,社交,朋友遇到困难或情绪低落时会来找我倾诉，我也愿意倾听,1=非常不同意 5=非常同意
S002,S,低,学习,我喜欢和同学合作完成任务，而不是总是单独行动,1=非常不同意 5=非常同意
S003,S,低,社交,我会主动关心班上同学的状态，留意是否有人需要帮助,1=非常不同意 5=非常同意
S004,S,低,社交,我喜欢倾听别人讲述他们的经历、想法和故事,1=非常不同意 5=非常同意
S005,S,中,学习,我愿意花时间帮助学习有困难的同学，不觉得是负担,1=非常不同意 5=非常同意
S006,S,中,社交,别人遇到情绪问题时，我能感同身受并给出有效的支持和安慰,1=非常不同意 5=非常同意
S007,S,中,社交,我喜欢组织班级活动、参与志愿服务或公益类项目,1=非常不同意 5=非常同意
S008,S,中,社交,我享受与不同类型的人交流，了解他们各自的想法和生活,1=非常不同意 5=非常同意
S009,S,中,日常,帮助他人成功解决了问题，带给我的满足感超过个人取得好成绩,1=非常不同意 5=非常同意
S010,S,中,学习,在团队中，我更愿意协调关系和支持大家，而不是单独冒尖,1=非常不同意 5=非常同意
S011,S,高,社交,我经常主动承担照顾、辅导或支持他人的角色，不计回报,1=非常不同意 5=非常同意
S012,S,高,日常,我会花大量时间和精力去理解他人的处境、感受和需求,1=非常不同意 5=非常同意
S013,S,高,假设情景,我觉得最有意义的工作是能直接帮助他人成长或改变生活的工作,1=非常不同意 5=非常同意
S014,S,高,假设情景,如果可以选择，我愿意从事教育、心理咨询、社会工作或医疗护理类职业,1=非常不同意 5=非常同意
S015,S,高,日常,看到别人在困难中获得帮助并好转，我比得到物质奖励更感到高兴,1=非常不同意 5=非常同意
S016,S,高,日常,我认为和谐的人际关系和帮助他人比个人成绩或排名更重要,1=非常不同意 5=非常同意
E001,E,低,社交,在团队活动中，我喜欢提出自己的想法和建议,1=非常不同意 5=非常同意
E002,E,低,学习,我不害怕在公众面前发表意见、做演讲或主持活动,1=非常不同意 5=非常同意
E003,E,低,社交,当别人遇到决策困难时，我会主动给出建议并推动大家行动,1=非常不同意 5=非常同意
E004,E,低,课余,我对商业、创业、投资或营销话题感到好奇和有兴趣,1=非常不同意 5=非常同意
E005,E,中,学习,我愿意担任班长、组长、活动负责人等需要协调和领导的角色,1=非常不同意 5=非常同意
E006,E,中,社交,我擅长在讨论中说服别人接受我的观点，并推动决策落地,1=非常不同意 5=非常同意
E007,E,中,学习,我喜欢设定目标并带领团队一起去实现它，享受看到成果的过程,1=非常不同意 5=非常同意
E008,E,中,日常,面对需要快速决策的情况，我敢于在别人犹豫时站出来做决定,1=非常不同意 5=非常同意
E009,E,中,社交,在讨论中，我经常自然地成为引导方向和主导节奏的那个人,1=非常不同意 5=非常同意
E010,E,中,日常,我对竞争环境感到兴奋，喜欢证明自己的能力超过平均水平,1=非常不同意 5=非常同意
E011,E,高,日常,我有强烈的成功欲望，希望在某个领域做到顶尖或有影响力,1=非常不同意 5=非常同意
E012,E,高,课余,我曾经自发地发起或主导过某个项目、活动或团队,1=非常不同意 5=非常同意
E013,E,高,假设情景,如果创业，我愿意承担失败的风险去追求更大的回报和影响力,1=非常不同意 5=非常同意
E014,E,高,假设情景,我的目标不只是完成任务，而是成为制定规则和方向的那个人,1=非常不同意 5=非常同意
E015,E,高,日常,我认为影响力和资源控制比稳定的薪资和安全感更吸引我,1=非常不同意 5=非常同意
E016,E,高,假设情景,如果可以选择，我更想创办或领导一个组织，而不是在其中执行任务,1=非常不同意 5=非常同意
C001,C,低,学习,我会把笔记或资料整理得比较有条理，方便日后查阅,1=非常不同意 5=非常同意
C002,C,低,日常,完成一张待办清单让我感到踏实和满足,1=非常不同意 5=非常同意
C003,C,低,学习,我做事倾向于按计划进行，而不是随机应变或临时发挥,1=非常不同意 5=非常同意
C004,C,低,学习,我比较喜欢有明确要求和规则的任务，不太喜欢模棱两可的情况,1=非常不同意 5=非常同意
C005,C,中,学习,我会提前规划时间，把任务分解成具体步骤再逐一完成,1=非常不同意 5=非常同意
C006,C,中,学习,我能长时间专注于需要精确和细心的任务，不觉得枯燥,1=非常不同意 5=非常同意
C007,C,中,学习,我会仔细检查自己的作业或工作，确保没有细节上的错误,1=非常不同意 5=非常同意
C008,C,中,学习,我对数据、统计、账目或结构化信息处理类任务感兴趣,1=非常不同意 5=非常同意
C009,C,中,日常,我在意工作的准确性，无法接受因粗心而导致的错误,1=非常不同意 5=非常同意
C010,C,中,日常,在混乱或无序的环境中，我的第一反应是重新整理、建立秩序,1=非常不同意 5=非常同意
C011,C,高,日常,我有维护详细记录或系统整理信息的习惯，比如分类文件夹或笔记系统,1=非常不同意 5=非常同意
C012,C,高,日常,我会自发建立分类体系来管理文件、知识、物品或日程,1=非常不同意 5=非常同意
C013,C,高,假设情景,如果负责一个项目，我会制定详细的时间表、里程碑和检查节点,1=非常不同意 5=非常同意
C014,C,高,假设情景,我享受处理精确数字、财务账目或结构化数据的工作,1=非常不同意 5=非常同意
C015,C,高,日常,我认为规范和流程是保证质量的关键，应当严格遵守而不是随意变通,1=非常不同意 5=非常同意
C016,C,高,日常,我倾向于在开始任何新任务前先制定完整的计划，而不是边做边想,1=非常不同意 5=非常同意
