门类,专业类代码,专业类,ISCED编码,ISCED类别（英文）,ISCED类别（中文）,工学子类,备注
工学,0826,生物医学工程类,07,Engineering Manufacturing and Construction,工程与制造建筑,生命工程,
工学,0827,食品科学与工程类,07,Engineering Manufacturing and Construction,工程与制造建筑,化工·材料·轻工,
工学,0828,建筑类,07,Engineering Manufacturing and Construction,工程与制造建筑,建筑·规划·景观,
工学,0829,安全科学与工程类,07,Engineering Manufacturing and Construction,工程与制造建筑,交通·物流·安全,
工学,0830,生物工程类,07,Engineering Manufacturing and Construction,工程与制造建筑,化工·材料·轻工,
工学,0831,公安技术类,07,Engineering Manufacturing and Construction,工程与制造建筑,国防安全,
工学,0832,交叉工程类,11,Computer Science,计算机科学,,并入计算机；多数交叉专业与CS深度结合
农学,0901,植物生产类,08,Agriculture Forestry Fisheries and Veterinary,农林渔业与兽医,,
农学,0902,自然保护与环境生态类,08,Agriculture Forestry Fisheries and Veterinary,农林渔业与兽医,,
农学,0903,动物生产类,08,Agriculture Forestry Fisheries and Veterinary,农林渔业与兽医,,
农学,0904,动物医学类,08,Agriculture Forestry Fisheries and Veterinary,农林渔业与兽医,,
农学,0905,林学类,08,Agriculture Forestry Fisheries and Veterinary,农林渔业与兽医,,
农学,0906,水产类,08,Agriculture Forestry Fisheries and Veterinary,农林渔业与兽医,,
农学,0907,草学类,08,Agriculture Forestry Fisheries and Veterinary,农林渔业与兽医,,
医学,1001,基础医学类,09,Health and Welfare,健康与福利,,
医学,1002,临床医学类,09,Health and Welfare,健康与福利,,
医学,1003,口腔医学类,09,Health and Welfare,健康与福利,,
医学,1004,公共卫生与预防医学类,09,Health and Welfare,健康与福利,,
医学,1005,中医学类,09,Health and Welfare,健康与福利,,可讨论是否单独列类
医学,1006,中西医结合类,09,Health and Welfare,健康与福利,,
医学,1007,药学类,09,Health and Welfare,健康与福利,,
医学,1008,中药学类,09,Health and Welfare,健康与福利,,
医学,1009,法医学类,09,Health and Welfare,健康与福利,,
医学,1010,医学技术类,09,Health and Welfare,健康与福利,,
医学,1011,护理学类,09,Health and Welfare,健康与福利,,
管理学,1201,管理科学与工程类,04,Business Administration and Law,商业管理与法律,,
管理学,1202,工商管理类,04,Business Administration and Law,商业管理与法律,,
管理学,1203,农业经济管理类,04,Business Administration and Law,商业管理与法律,,
管理学,1204,公共管理类,04,Business Administration and Law,商业管理与法律,,
管理学,1205,图书情报与档案管理类,03,Social Sciences Journalism and Information,社会科学与新闻,,
管理学,1206,物流管理与工程类,07,Engineering Manufacturing and Construction,工程与制造建筑,交通·物流·安全,从04商业移入工程
管理学,1207,工业工程类,07,Engineering Manufacturing and Construction,工程与制造建筑,机械·制造·自动化,
管理学,1208,电子商务类,04,Business Administration and Law,商业管理与法律,,
管理学,1209,旅游管理类,04,Business Administration and Law,商业管理与法律,,从服务类移入商业管理
艺术学,1301,艺术学理论类,02,Arts and Humanities,艺术与人文,,
艺术学,1302,音乐与舞蹈学类,02,Arts and Humanities,艺术与人文,,
艺术学,1303,戏剧与影视学类,02,Arts and Humanities,艺术与人文,,
艺术学,1304,美术学类,02,Arts and Humanities,艺术与人文,,
艺术学,1305,设计学类,02,Arts and Humanities,艺术与人文,,
